time,q0,q1,q2,q3
0.35,0.00153299193093586,0.999998188563988,0.00106322658726272,0.000377297902126022
0.36,0.00162182428360547,0.99999804839436,0.0010666585683177,0.000367604355240902
0.37,0.00171315794013584,0.999997896053573,0.00106999935732098,0.000357882209295445
0.38,0.00180699289272189,0.999997730855816,0.00107324917018281,0.000348132336902394
0.39,0.00190332913291649,0.999997552097338,0.00107640746054617,0.000338355614751174
0.4,0.00200216665223189,0.999997359055043,0.00107947423040759,0.000328552920410288
0.41,0.00210350544171326,0.999997150987473,0.00108244911273059,0.000318725134495765
0.42,0.00220734549221624,0.99999692713412,0.00108533201365502,0.00030887313894107
0.43,0.00231368679420192,0.999996686715908,0.00108812266299319,0.000298997818097253
0.44,0.00242252933786182,0.999996428934856,0.00109082092891954,0.00028910005777813
0.45,0.0025338731130167,0.999996152974317,0.00109342659772604,0.000279180745795964
0.46,0.00264771810916964,0.999995857998808,0.00109593952802783,0.000269240771415511
0.47,0.00276406431545334,0.999995543154131,0.00109835954285347,0.000259281025591765
0.48,0.00288291172064928,0.999995207567287,0.00110068650521323,0.000249302400639197
0.49,0.00300426031315748,0.999994850346539,0.00110292026523177,0.000239305790312368
0.5,0.00312811008099957,0.99999447058137,0.00110506069718345,0.000229292089588163
0.51,0.00325446101179875,0.999994067342508,0.00110710767359456,0.000219262194663571
0.52,0.0033833130927752,0.999993639681911,0.00110906108339659,0.000209217002797057
0.53,0.00351466631073052,0.99999318663278,0.00111092081924229,0.000199157412262666
0.54,0.00364852065203932,0.999992707209551,0.00111268678640588,0.000189084322222224
0.55,0.00378487610263553,0.999992200407897,0.00111435889657266,0.000178998632656364
0.56,0.00392373264800195,0.999991665204729,0.00111593707220425,0.000168901244252707
0.57,0.00406509027315725,0.9999911005582,0.00111742124349917,0.000158793058324665
0.58,0.00420894896264428,0.999990505407698,0.00111881135053484,0.000148674976707821
0.59,0.00435530870051715,0.999989878673852,0.00112010734178085,0.000138547901672213
0.6,0.00450416947032876,0.999989219258531,0.00112130917515056,0.000128412735822882
0.61,0.00465553125511768,0.999988526044843,0.00112241681727407,0.000118270382008638
0.62,0.00480939403739506,0.999987797897139,0.00112343024401438,0.000108121743224687
0.63,0.00496575779913118,0.999987033661008,0.00112434944011161,9.79677225194805e-05
0.64,0.00512462252174184,0.999986232163284,0.00112517439943575,8.78092228983463e-05
0.65,0.00528598818607452,0.99998539221204,0.00112590512481156,7.76471472292833e-05
0.66,0.00544985477239431,0.999984512596593,0.00112654162814124,6.74823981470652e-05
0.67,0.0056162222603696,0.999983592087503,0.0011270839303168,5.73158779584502e-05
0.68,0.00578509062905762,0.999982629436574,0.00112753206127784,4.71484885465059e-05
0.69,0.00595645985688964,0.999981623376852,0.00112788605996569,3.69811312755034e-05
0.7,0.00613032992165605,0.99998057262263,0.00112814597434833,2.68147068953576e-05
0.71,0.00630670080049118,0.999979475869445,0.00112831186139388,1.66501154463711e-05
0.72,0.00648557246985792,0.999978331794079,0.00112838378707829,6.48825616375927e-06
0.73,0.00666694490553204,0.999977139054562,0.00112836182636724,-3.66997261764508e-06
0.74,0.00685081808258641,0.999975896290169,0.00112824606321431,-1.38236735587719e-05
0.75,0.00703719197537487,0.999974602121423,0.00112803659054587,-2.39719504115662e-05
0.76,0.00722606655751601,0.999973255150095,0.00112773351025344,-3.4113908114243e-05
0.77,0.00741744180187658,0.999971853959206,0.00112733693317902,-4.42486528864285e-05
0.78,0.00761131768055483,0.999970397113024,0.00112684697910348,-5.43752923242482e-05
0.79,0.00780769416486349,0.999968883157068,0.00112626377673096,-6.44929354952962e-05
